  PID TTY      STAT   TIME COMMAND
 1230 tty7     Ssl+   0:02 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
 1418 ?        Ssl    0:00 /usr/lib/colord/colord
 1587 ?        Ss     0:00 /usr/sbin/nmbd
 1588 ?        Ss     0:00 /usr/sbin/winbindd
 1596 ?        S      0:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-eth0.pid -lf /var/lib/NetworkManager/dhclient-fafe50ac-e9f2-3418-b4ec-1c84f32da0d4-eth0.lease -cf /var/lib/NetworkManager/dhclient-eth0.conf eth0
 1603 ?        S      0:00 /usr/lib/cups/notifier/dbus dbus://
 1604 ?        S      0:00 /usr/lib/cups/notifier/dbus dbus://
 1605 ?        S      0:00 /usr/lib/cups/notifier/dbus dbus://
 1607 ?        S      0:00 /usr/lib/cups/notifier/dbus dbus://
 1608 ?        S      0:00 /usr/lib/cups/notifier/dbus dbus://
 1609 ?        S      0:00 /usr/lib/cups/notifier/dbus dbus://
 1640 ?        S      0:00 /usr/sbin/winbindd
 1689 ?        Ss     0:00 /usr/sbin/smbd
 1690 ?        S      0:00 /usr/sbin/smbd
 1691 ?        S      0:00 /usr/sbin/smbd
 1695 ?        S      0:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --conf-file=/dev/null --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
 1735 ?        S      0:00 /usr/sbin/winbindd
 1736 ?        S      0:00 /usr/sbin/winbindd
 1742 ?        S      0:00 /usr/sbin/smbd
 1977 tty1     Ss+    0:00 /sbin/agetty --noclear tty1 linux
 1992 ?        Ss     0:00 /usr/sbin/apache2 -k start
 1995 ?        S      0:00 /usr/sbin/apache2 -k start
 1996 ?        S      0:00 /usr/sbin/apache2 -k start
 1997 ?        S      0:00 /usr/sbin/apache2 -k start
 1998 ?        S      0:00 /usr/sbin/apache2 -k start
 1999 ?        S      0:00 /usr/sbin/apache2 -k start
 2421 ?        Ssl    0:00 /usr/sbin/ntpd -p /var/run/ntpd.pid -g -u 118:128
 2428 ?        Ssl    0:00 /usr/lib/packagekit/packagekitd
 2439 ?        Ssl    0:00 /usr/sbin/console-kit-daemon --no-daemon
 2772 ?        Ssl    0:00 /usr/lib/upower/upowerd
 2785 ?        SNsl   0:00 /usr/lib/rtkit/rtkit-daemon
 2819 ?        S<     0:00 [krfcommd]
 2852 ?        Sl     0:00 lightdm --session-child 12 19
 2923 ?        Ss     0:00 /lib/systemd/systemd --user
 2927 ?        S      0:00 (sd-pam)
 2946 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation
 2975 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 2979 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd
 2984 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 3022 ?        SLl    0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
 3025 ?        Ss     0:00 /sbin/upstart --user
